From Bus,To Bus,Resistance,Reactance,Susceptance,RateA,RateB,RateC,Ratio,Angle,Status,Min Angle Difference,Max Angle Difference,G,B
37.0,38.0,0.0651,0.1009,0.002,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,4.515,6.998
37.0,39.0,0.0239,0.0379,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,11.905,18.878
36.0,40.0,0.03,0.0466,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,9.767,15.171
22.0,38.0,0.0192,0.0295,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,15.498,23.812
11.0,41.0,0.0,0.749,0.0,0.0,0.0,0.0,0.955,0.0,1.0,-360.0,360.0,0.0,1.335
41.0,42.0,0.207,0.352,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,1.241,2.111
41.0,43.0,0.0,0.412,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,0.0,2.427
38.0,44.0,0.0289,0.0585,0.002,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,6.788,13.741
15.0,45.0,0.0,0.1042,0.0,0.0,0.0,0.0,0.955,0.0,1.0,-360.0,360.0,0.0,9.597
14.0,46.0,0.0,0.0735,0.0,0.0,0.0,0.0,0.9,0.0,1.0,-360.0,360.0,0.0,13.605
46.0,47.0,0.023,0.068,0.0032,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,4.463,13.196
47.0,48.0,0.0182,0.0233,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,20.821,26.655
48.0,49.0,0.0834,0.129,0.0048,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,3.534,5.467
49.0,50.0,0.0801,0.128,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,3.513,5.614
50.0,51.0,0.1386,0.22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,2.05,3.254
10.0,51.0,0.0,0.0712,0.0,0.0,0.0,0.0,0.93,0.0,1.0,-360.0,360.0,0.0,14.045
13.0,49.0,0.0,0.191,0.0,0.0,0.0,0.0,0.895,0.0,1.0,-360.0,360.0,0.0,5.236
29.0,52.0,0.1442,0.187,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,2.586,3.353
52.0,53.0,0.0762,0.0984,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,4.92,6.353
53.0,54.0,0.1878,0.232,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,2.108,2.604
54.0,55.0,0.1732,0.2265,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,2.13,2.786
11.0,43.0,0.0,0.153,0.0,0.0,0.0,0.0,0.958,0.0,1.0,-360.0,360.0,0.0,6.536
44.0,45.0,0.0624,0.1242,0.004,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,3.23,6.429
40.0,56.0,0.0,1.195,0.0,0.0,0.0,0.0,0.958,0.0,1.0,-360.0,360.0,0.0,0.837
56.0,41.0,0.553,0.549,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,0.911,0.904
56.0,42.0,0.2125,0.354,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,1.247,2.077
39.0,57.0,0.0,1.355,0.0,0.0,0.0,0.0,0.98,0.0,1.0,-360.0,360.0,0.0,0.738
57.0,56.0,0.174,0.26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,1.778,2.656
38.0,49.0,0.115,0.177,0.003,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,2.581,3.973
38.0,48.0,0.0312,0.0482,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,9.464,14.621
9.0,55.0,0.0,0.1205,0.0,0.0,0.0,0.0,0.94,0.0,1.0,-360.0,360.0,0.0,8.299
